outcome,model,term,estimate,std_error,t_value,p_value,ci_95_low,ci_95_high
SE,Model 1 Clinical,Sex_2_vs_1,-0.4945392409210321,0.5477142117588004,-0.9029147506196439,0.3681913673411976,-1.5778225170079612,0.588744035165897
SE,Model 2 Clinical+OCTA,Intercept,-3.3705814288755485,0.29873163135017783,-11.282974667401394,0.0,-3.9615438548996282,-2.7796190028514687
SE,Model 2 Clinical+OCTA,Age_canonical_z,-0.17192497016772595,0.22673648883119166,-0.7582589421490353,0.44965797092205895,-0.6204638306233644,0.2766138902879125
SE,Model 2 Clinical+OCTA,CCFA_median_z,1.0782995708994143,0.2959840404277301,3.6431003825109984,0.0003869257656305969,0.49277253512816044,1.6638266066706682
SE,Model 2 Clinical+OCTA,CT_median_z,1.3608115583536549,0.2587366174885602,5.259447122569815,5.725389424782179e-07,0.84896881012768,1.8726543065796297
SE,Model 2 Clinical+OCTA,CVI_median_z,0.08651388456626216,0.30427574575062183,0.284327245186237,0.7766085506878557,-0.5154161222306778,0.6884438913632022
SE,Model 2 Clinical+OCTA,Sex_2_vs_1,-0.4417441194789803,0.42171836903136584,-1.0474860758226185,0.2968042542219522,-1.2760036497982012,0.39251541084024066
SE,Model 3 Clinical+Cho,Intercept,-3.6349675502299217,0.33945230756423594,-10.708330652729654,0.0,-4.306582254434917,-2.963352846024926
SE,Model 3 Clinical+Cho,Age_canonical_z,0.06378414518341417,0.27519410976313496,0.23177874424098122,0.8170771346128292,-0.48069414089378365,0.608262431260612
SE,Model 3 Clinical+Cho,Density_module_median_z,-1.6243683814461212,0.30998492644367504,-5.240152803821164,6.359619522111615e-07,-2.2376811504043332,-1.011055612487909
SE,Model 3 Clinical+Cho,Complexity_module_median_z,0.1767437017755208,0.2785253964166,0.6345694290338938,0.5268330706618378,-0.37432561653369567,0.7278130200847372
SE,Model 3 Clinical+Cho,Calibre_module_median_z,0.06109588105046211,0.33419042230645085,0.18281757038039081,0.8552281694025488,-0.6001080543006521,0.7222998164015764
SE,Model 3 Clinical+Cho,Tortuosity_module_median_z,0.2143196360579916,0.2759806352004028,0.7765749067950504,0.43883120902555883,-0.33171480986001206,0.7603540819759953
SE,Model 3 Clinical+Cho,Branching_Angle_module_median_z,-0.5868642467123092,0.2535375649278069,-2.3147033335254084,0.02220902071340891,-1.0884945284319913,-0.08523396499262692
SE,Model 3 Clinical+Cho,Sex_2_vs_1,0.08319644031158584,0.48256247314569994,0.17240553284064913,0.8633889156074201,-0.8715652314759905,1.0379581120991621
SE,Model 4 Clinical+OCTA+Cho,Intercept,-3.505806100962913,0.2931422793669261,-11.959401109024933,0.0,-4.085926054030583,-2.925686147895242
SE,Model 4 Clinical+OCTA+Cho,Age_canonical_z,0.1346713076716113,0.24366386430697803,0.5526929815983986,0.581452843796826,-0.3475323165593318,0.6168749319025544
SE,Model 4 Clinical+OCTA+Cho,CCFA_median_z,0.9331525857304366,0.30079411882569557,3.1022966452052896,0.002370588665294493,0.3378898673227092,1.5284153041381638
SE,Model 4 Clinical+OCTA+Cho,CT_median_z,1.0415011143673893,0.2776736690459153,3.750809783102516,0.0002675703435535137,0.4919930863786479,1.5910091423561308
SE,Model 4 Clinical+OCTA+Cho,CVI_median_z,0.11805040978028687,0.30138375435763104,0.39169466858590096,0.6959454951552035,-0.4783791800110299,0.7144799995716037
SE,Model 4 Clinical+OCTA+Cho,Density_module_median_z,-0.7316936103296495,0.29822335608790035,-2.4535087389801395,0.01551404812092727,-1.3218688648545873,-0.14151835580471184
SE,Model 4 Clinical+OCTA+Cho,Complexity_module_median_z,-0.14559014724500083,0.24543185205508147,-0.593199888384196,0.5541106786387442,-0.6312925672541202,0.3401122727641186
SE,Model 4 Clinical+OCTA+Cho,Calibre_module_median_z,0.012163619332870045,0.2892334361143896,0.042054679072648524,0.9665216779430286,-0.5602208478502415,0.5845480865159816
SE,Model 4 Clinical+OCTA+Cho,Tortuosity_module_median_z,0.004363757845701885,0.24076605665255932,0.018124472803070675,0.9855682235674657,-0.47210519022692315,0.4808327059183269
SE,Model 4 Clinical+OCTA+Cho,Branching_Angle_module_median_z,-0.44730223786365914,0.22187058188023456,-2.0160502310536703,0.04592128160431064,-0.886377596851198,-0.008226878876120336
SE,Model 4 Clinical+OCTA+Cho,Sex_2_vs_1,-0.1732545531605977,0.4182978168713072,-0.41418947499288744,0.6794395848020618,-1.0010536356257742,0.6545445293045787
SE,Model 5 Clinical+OCTA_nonflow,Intercept,-3.413494338271706,0.3120668677549602,-10.93834267901851,0.0,-4.030793447980679,-2.7961952285627323
SE,Model 5 Clinical+OCTA_nonflow,Age_canonical_z,-0.3271956089879187,0.2328167492656449,-1.4053783072737054,0.1622580396217228,-0.7877301510908288,0.13333893311499134
SE,Model 5 Clinical+OCTA_nonflow,CT_median_z,1.5619987728798033,0.2642637074339823,5.910757811002171,2.743896398982315e-08,1.0392590392420686,2.084738506517538
SE,Model 5 Clinical+OCTA_nonflow,CVI_median_z,0.6491403893283734,0.2740864721745995,2.3683780676153026,0.019316740608476435,0.10697025613273092,1.1913105225240157
SE,Model 5 Clinical+OCTA_nonflow,Sex_2_vs_1,-0.3565402269097959,0.4402080300773385,-0.809935763432477,0.41943479081499,-1.2273152214114766,0.5142347675918849
